sub_id,door_win,door_loss
1001,1.11817021,0.5013203165
1006,0.545887219,0.7265260982
1009,0.3992919871,-0.6405249462
1010,0.4145637769,-0.3667289469
1012,0.6346326648,-0.8761455316
1013,0.9303413769,-0.7025107843
1015,-0.1230014027,-0.5201467508
1016,1.480910483,0.2795060686
1019,1.071766804,0.5852020304
1021,1.240876257,0.7222653329
1242,0.001254556374,-1.646075334
1243,-0.442714579,-1.279244106
1244,1.552282522,0.6739894035
1248,0.2602962473,-0.7441239772
1249,0.4466833218,-0.3944886272
1251,0.958647973,-0.800009182
1255,0.1457298129,-0.4152770269
1276,-1.034941157,-0.9529053885
1286,1.338868598,0.1672566729
1294,0.9610051831,0.06086197792
1301,0.4939809051,1.078518544
1302,-0.006938860294,-0.2890613145
1303,0.5579439254,-0.5696384207
3116,-1.052725126,-1.852951566
3122,1.631945816,1.047814418
3125,-0.6197649028,-2.021440481
3140,1.090052801,0.5521018665
3143,-1.348274594,-2.795527929
3166,0.3622851027,-0.867699649
3167,0.7672026772,-0.6076772077
3170,1.203516917,0.5906559442
3173,0.1101219278,-0.4155688536
3176,0.9977516401,0.2167190847
3189,1.342218252,0.6577155569
3190,1.258869866,0.06782026667
3200,-0.4891141527,-1.064928815
3206,-0.1731770547,-0.6582223458
3212,0.2788852425,0.2389715282
3220,-0.1625893746,-1.3853241
